commitment_num,commitment_txt,pillar_num,pillar_txt,icon_url
1,Protection of Human Rights and Fundamental Freedoms in the online environment,1,key principles,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_1.svg
2,Promote online safety and combat violence online,1,key principles,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_2.svg
3,Protect human rights and the principles of the rule of law including effective remedies,1,key principles,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_3.svg
4,Oppose abuse of Internet or algorithms for unlawful surveillance or oppression,1,key principles,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_4.svg
5,Reduce illegal and harmful content and activities online while promoting the right to freedom of expression,1,key principles,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_5.svg
6,"Promote affordable, inclusive, and reliable access to the Internet for everyone",2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_6.svg
7,"Protect and strengthen the multi-stakeholder system of Internet governance (i.e., United Nations, World Trade Organisation, G7, G20, etc.)",2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_7.svg
8,Promote cooperation in research and innovation on security threats and responsible state behavior in cyberspace,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_8.svg
9,Foster greater exposure to diverse cultural and multilingual content and bolster resilience to disinformation and misinformation,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_9.svg
10,Support digital literacy skills,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_10.svg
11,Protect the technical infrastructure essential to the general availability and integrity of the Internet,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_11.svg
12,Refrain from government-imposed Internet shutdowns or degradation of Internet access to lawful content and services,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_12.svg
13,Base government access to personal data according to existing laws and respecting human rights,3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_13.svg
14,"Refrain from using the Internet to undermine voting systems, elections, and political processes",3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_14.svg
15,Work together to combat cybercrime and deter malicious cyber activity,3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_15.svg
16,Promote and use trustworthy network infrastructure and service suppliers,3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_16.svg
17,"Promote online protection of consumers, in particular vulnerable consumers",3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_17.svg
18,Maximize the enabling effects of technology for combating climate change and protecting the environment,3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_18.svg
19,Protect individualsâ€™ privacy and their personal data,3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_19.svg
20,Support a rules-based global digital economy fostering fair online markets,3,trust in the digital ecosystem,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_20.svg
21,Promote the benefits of data flows based on shared values and trust,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_21.svg
22,Inclusive and affordable access to the Internet,2,a global internet,https://raw.githubusercontent.com/cdtrich/dfi/31dd713cd80fedd810e802e95bc4e0c84cae88e3/icons/icon_22.svg
